Name,X (Semi-Major axis),X error,Y (Orbital period),Y lower error bound,Y upper error bound
HD 109246 b,0.328074,0.0119176,68.27,0.13,0.13
Kepler-68 d,1.39639,0.0334855,580,15,15
HD 128311 c,1.74533,0.0298449,923.8,5.3,5.3
CoRoT-23 b,0.0483417,0.0011308,3.6313,0.0001,0.0001
WASP-39 b,0.0485835,0.000809725,4.055259,9E-06,9E-06
GJ 876 b,0.208098,0.00650309,61.1166,0.0086,0.0086
HD 164509 b,0.877542,0.0166097,282.4,3.8,3.8
HD 9446 b,0.189213,0.00630813,30.052,0.027,0.027
HD 18742 b,1.97816,0.0748165,772,11,11
WASP-80 b,0.0344696,0.000990507,3.0678504,2.7E-06,2.3E-06
HD 167042 b,1.29371,0.022598,420.77,3.3,3.3
HD 69830 b,0.0781916,0.00130332,8.6669998,0.003,0.003
Kepler-8 b,0.0483278,0.000863234,3.52254,3E-05,5E-05
HD 114762 b,0.362932,0.0120977,83.9151,0.003,0.003
